bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title,gpt_categories,gpt_bill_type,gpt_reason
hr4328-106,106,2000-04-13,Taxation,Armed forces reserves|Costs|Expense accounts|Income tax|Personal income tax|Tax deductions,To amend the Internal Revenue Code of 1986 to allow as a deduction in determining adjusted gross income the deduction for expenses in connection with services as a member of a reserve component of the Armed Forces of the United States.,Reservists Tax Relief Act of 2000,,,"The bill provides a tax deduction for reservists' expenses, which does not relate to private employer wage or benefit obligations."
hjres20-107,107,2001-02-14,"Civil Rights and Liberties, Minority Issues",Abortion|Congressional powers|Constitutional amendments|Due process of law|State laws|Unborn children (Law),Proposing an amendment to the Constitution of the United States with respect to the right to life.,,,,"The bill proposes a constitutional amendment regarding the definition of 'person' and abortion rights, which does not involve private employer wage or benefit obligations."
hr3840-109,109,2005-09-20,,Private Legislation,For the relief of David Adekoya.,,,,"The bill is private legislation concerning immigration relief for an individual, unrelated to private employer wage or benefit obligations."
hr4112-114,114,2015-11-19,Taxation,Cancer|Medical tests and diagnostic methods|Motor fuels|Motor vehicles|Sales and excise taxes|Women's health,To amend the Internal Revenue Code of 1986 to allow refunds of Federal motor fuel excise taxes on fuels used in mobile mammography vehicles.,Mobile Mammography Promotion Act of 2015,,,"The bill provides a tax exemption for fuel used in mobile mammography vehicles, which does not relate to private employer wage or benefit obligations."
s15-107,107,2002-11-20,International Affairs,AIDS (Disease)|Access to health care|Advice and consent of the Senate|Africa (Sub-Saharan)|Ambassadors|American economic assistance|American investments|American technical assistance|Americans employed in foreign countries|Authorization|Blood banks|Business and social problems|Business ethics|Caregivers|Case management|Child health|Child nutrition|Church and social problems|Citizen participation|Clinical trials|Clinics|Collection of accounts|Communicable diseases|Communication in medicine|Community health services|Community organization|Condoms|Congress and foreign policy|Congressional reporting requirements|Contraceptives|Corporate accountability|Credit|Crimes against women|Debt agreements|Debt relief|Department of State|Developing countries|Disciplining of employees|Discrimination in employment|Displaced persons|Drug therapy|Drugs|Elementary and secondary education|Employee rights|Employee training|Environmental degradation|Epidemics|Epidemiology|Executive reorganization|Exports|Federal aid to medical education|Federal employees|Government liability (International law)|Government spending|Government trust funds|Guardian and ward|HIV-positive persons|Health counseling|Health education|Health services administration|Health surveys|Higher education|Hospices (Terminal care)|Human behavior|Human immunodeficiency viruses|Human rights,"A bill to amend the Foreign Assistance Act of 1961 to increase assistance for foreign countries seriously affected by HIV/AIDS, tuberculosis, and malaria, and for other purposes.","United States Leadership Against HIV/AIDS, Tuberculosis,  and Malaria Act of 2002",,,"The bill focuses on international assistance for combating HIV/AIDS, tuberculosis, and malaria, and does not address private employer wage or benefit obligations."
s2461-113,113,2014-06-11,Health,"Adoption and foster care|Advisory bodies|Appropriations|Child health|Congressional oversight|Dental care|Disability and paralysis|Employee benefits and pensions|Foreign language and bilingual programs|Government employee pay, benefits, personnel management|Government trust funds|Health care costs and insurance|Health care coverage and access|Health care quality|Health information and medical records|Health programs administration and funding|Health promotion and preventive care|Immunology and vaccination|Juvenile crime and gang violence|Medicaid|Medical tests and diagnostic methods|Performance measurement|Poverty and welfare assistance|State and local government operations|Women's health","A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",CHIP Extension Act of 2014,,,"The bill focuses on extending and improving the Children's Health Insurance Program (CHIP) and related healthcare provisions, which do not involve private employer wage or benefit obligations."
hr3807-114,114,2015-10-22,Economics and Public Finance,Budget deficits and national debt|Congressional oversight|Legislative rules and procedure,To provide a process for ensuring the United States does not default on its obligations.,Pay Our Bills Act,,,"The bill addresses the national debt limit and legislative procedures for debt management, not private employer wage or benefit obligations."
hr246-115,115,2017-01-04,Health,Comprehensive health care|Health care costs and insurance|Health care coverage and access|Insurance industry and regulation|User charges and fees,To repeal the annual fee on health insurance providers enacted by the Patient Protection and Affordable Care Act.,,,,"The bill repeals a fee on health insurance providers, which does not relate to private employer wage or benefit obligations."
hr4135-114,114,2015-11-30,Crime and Law Enforcement,Firearms and explosives|Immigration status and procedures|Travel and tourism|Visas and passports,"To clarify the definition of nonimmigrant for purposes of chapter 44 of title 18, United States Code.",Visa Waiver Program Firearms Clarification Act of 2015,,,"The bill addresses firearm possession eligibility for foreign nationals under the Visa Waiver Program, unrelated to private employer wage or benefit obligations."
hr6348-112,112,2012-08-02,Water Resources Development,Dams and canals|Fishes|Great Lakes|Illinois|Lakes and rivers|Pest management|Wildlife conservation and habitat protection,"To direct the Secretary of the Army to prevent the spread of Asian carp in the Great Lakes and the tributaries of the Great Lakes, and for other purposes.",Asian Carp Prevention Act of 2012,,,"The bill focuses on environmental conservation and pest management, specifically preventing the spread of Asian carp, and does not involve private employer wage or benefit obligations."
s2781-106,106,2000-06-23,Taxation,Art|Artists|Authors and authorship|Charitable contributions|Copyright|Government paperwork|Income tax|Intellectual property|Literature|Music|Tax deductions|Tax returns|Valuation,"A bill to amend the Internal Revenue Code of 1986 to provide that a deduction equal to fair market value shall be allowed for charitable contributions of literary, musical, artistic, or scholarly compositions created by the donor.",Artist-Museum Partnership Act,,,"The bill provides tax deductions for charitable contributions of artistic works, which does not relate to private employer wage or benefit obligations."
hr2390-116,116,2019-04-29,Housing and Community Development,Building construction|Economic development|Housing and community development funding|Land use and conservation,"To authorize the Secretary of Housing and Urban Development to make grants to States for use to eliminate blight and assist in neighborhood revitalization, and for other purposes.",Clean Up Our Neighborhoods Act of 2019,,,"The bill focuses on housing and community development, not on private employer wage or benefit obligations."
hr476-108,108,2003-01-29,Armed Forces and National Security,History|Military discharges|Military medicine|Nurses|Veterans' benefits|Women|Women veterans|World War II,To provide that service of the members of the organization known as the United States Cadet Nurse Corps during World War II constituted active military service for purposes of laws administered by the Secretary of Veterans Affairs.,United States Cadet Nurse Corps Equity Act of 2003,,,"The bill addresses recognition of military service for veterans' benefits, not private employer wage or benefit obligations."
s1903-113,113,2014-01-09,Finance and Financial Sector,"Administrative law and regulatory procedures|Bank accounts, deposits, capital|Banking and financial institutions regulation|Consumer Financial Protection Bureau|Consumer credit|User charges and fees","A bill to provide greater fee disclosures for consumers who have prepaid cards, and for other purposes.",Prepaid Card Disclosure Act of 2014,,,"The bill focuses on consumer fee disclosures for prepaid cards, which does not involve private employer wage or benefit obligations."
s2128-108,108,2004-02-25,Law,Adoption|Citizenship|Constitutional law|Residence requirements,"A bill to define the term ""natural born Citizen"" as used in the Constitution of the United States to establish eligibility  for the Office of President.",Natural Born Citizen Act,,,"The bill defines 'natural born citizen' for presidential eligibility, unrelated to private employer wage or benefit obligations."
s734-108,108,2003-03-27,Armed Forces and National Security,"Authorization|EBB Terrorism|Federal advisory bodies|Governmental investigations|September 11, 2001|Terrorism",A bill to provide adequate funding for the National Commission on Terrorist Attacks Upon the United States.,Full Funding for the 9-11 Commission Act,,,"The bill authorizes funding for a government commission related to national security and terrorism, not private employer wage or benefit obligations."
hr1418-114,114,2015-03-18,Health,Caribbean area|Health care coverage and access|Medicare|Puerto Rico|U.S. territories and protectorates,To amend part B of the title XVIII of the Social Security Act to apply deemed enrollment to residents of Puerto Rico and to provide a special enrollment period and a reduction in the late enrollment penalties for certain residents of Puerto Rico.,Puerto Rico Medicare Part B Equity Act of 2015,,,"The bill addresses Medicare enrollment for Puerto Rico residents, which involves government benefit programs, not private employer wage or benefit obligations."
s494-113,113,2013-03-07,Taxation,"Agricultural prices, subsidies, credit|Business investment and capital|Income tax deductions|Livestock",A bill to amend the Internal Revenue Code of 1986 to expand the types of livestock for which bonus depreciation is available.,,,,"The bill expands bonus depreciation for livestock, which is unrelated to private employer wage or benefit obligations."
s266-111,111,2009-01-15,Health,Medicare|Prescription drugs|Public contracts and procurement,A bill to amend title XVIII of the Social Security Act to reduce the coverage gap in prescription drug coverage under part D of such title based on savings to the Medicare program resulting from the negotiation of prescription drug prices.,Medicare Prescription Drug Gap Reduction Act of 2009,,,"The bill addresses Medicare prescription drug coverage and negotiation of drug prices, which does not involve private employer wage or benefit obligations."
s1781-112,112,2011-11-02,Taxation,"Civil actions and liability|Employment discrimination and employee rights|Income tax exclusion|Tax administration and collection, taxpayers|Wages and earnings","A bill to amend the Internal Revenue Code of 1986 to exclude from gross income amounts received on account of claims based on certain unlawful discrimination and to allow income averaging for backpay and frontpay awards received on account of such claims, and for other purposes.",Civil Rights Tax Relief Act of 2011,,,"The bill addresses tax treatment of discrimination claim settlements, not private employer wage or benefit obligations."
hr1312-112,112,2011-04-01,Armed Forces and National Security,"Income tax credits|Veterans' education, employment, rehabilitation","To amend the Internal Revenue Code of 1986 to allow an increased work opportunity credit with respect to recent veterans, and for other purposes.",Jobs for Veterans Act of 2011,,,"The bill provides a tax credit for hiring veterans, which does not relate to private employer wage or benefit obligations."
hr6637-112,112,2012-12-05,Finance and Financial Sector,"Accounting and auditing|Administrative law and regulatory procedures|Bank accounts, deposits, capital|Banking and financial institutions regulation|Business records|Department of the Treasury|Federal officials|Fraud offenses and financial crimes|Intergovernmental relations|State and local government operations","To allow the Secretary of the Treasury to rely on State examinations for certain financial institutions, and for other purposes.",Money Remittances Improvement Act of 2012,,,"The bill pertains to financial institution regulation and compliance with monetary transaction reporting, not private employer wage or benefit obligations."
hr1462-108,108,2003-03-27,International Affairs,Civil War|Communication in medicine|Counseling|Data banks|Disabled|Economic assistance|Elementary and secondary education|Emergency medicine|Employee training|Epidemiology|Health education|Health information systems|Health planning|Higher education|Land mines|Medical education|Medical research|Medical supplies|Mental health services|Minesweeping|Nongovernmental organizations|Physical therapy|Post-traumatic stress disorder|Prosthesis|Rehabilitation of the disabled|Surgery|Technical assistance|Trauma care|Vocational and technical education|War relief,"To authorize assistance for individuals with disabilities in foreign countries, including victims of warfare and civil strife, and for other purposes.",International Disability and Victims of Warfare and Civil Strife Assistance Act of 2003,,,"The bill focuses on international assistance for individuals with disabilities and victims of warfare, not on private employer wage or benefit obligations."
hr1956-112,112,2011-05-24,Taxation,"Income tax credits|Tax administration and collection, taxpayers|Tax treatment of families",To amend the Internal Revenue Code of 1986 to require individuals to provide their Social Security number in order to claim the refundable portion of the child tax credit.,Refundable Child Tax Credit Eligibility Verification Reform Act,,,"The bill addresses tax administration related to the child tax credit, not private employer wage or benefit obligations."
s2810-112,112,2012-05-07,Foreign Trade and International Finance,Tariffs,A bill to reduce temporarily the duty on golf club iron heads.,,,,"The bill addresses tariff reductions on golf club iron heads, which does not involve private employer wage or benefit obligations."
hr94-115,115,2017-01-03,Armed Forces and National Security,"Appropriations|Congressional oversight|Department of Veterans Affairs|Government buildings, facilities, and property|Health facilities and institutions|Veterans' medical care","To amend title 38, United States Code, to require congressional approval before the appropriation of funds for the Department of Veterans Affairs major medical facility leases.",Build a Better VA Act,,,"The bill concerns congressional approval for VA medical facility leases, which does not involve private employer wage or benefit obligations."
hr6304-109,109,2006-09-29,Social Welfare,"Disabled|Nervous system diseases|Old age, survivors and disability insurance|Terminally ill",To amend title II of the Social Security Act to provide that the eligibility requirement for disability insurance benefits under which an individual must have 20 quarters of Social Security coverage in the 40 quarters preceding a disability shall not be applicable in the case of a disabled individual suffering from a covered terminal disease.,Claire Collier Social Security Disability Insurance Fairness Act,,,"The bill amends Social Security eligibility requirements for disability insurance, which is a government benefit program, not related to private employer wage or benefit obligations."
hr2453-116,116,2019-05-01,Transportation and Public Works,"Forests, forestry, trees|Motor carriers|Roads and highways","To amend title 23, United States Code, with respect to vehicle weight limitations for certain logging vehicles, and for other purposes.",Safe Routes Act of 2019,,,"The bill addresses vehicle weight limitations for logging vehicles, which does not involve private employer wage or benefit obligations."
hr933-108,108,2003-02-26,Immigration,Aliens|Authorization|Compensation (Law)|Criminal aliens|Department of Homeland Security|Federal aid to law enforcement|Illegal aliens|Imprisonment|Intergovernmental fiscal relations,To amend the Immigration and Nationality Act to authorize appropriations for fiscal years 2004 through 2010 to carry out the State Criminal Alien Assistance Program.,State Criminal Alien Assistance Program Reauthorization Act of 2003,,,"The bill authorizes appropriations for a program related to criminal aliens and law enforcement, not private employer wage or benefit obligations."
hjres35-107,107,2001-03-07,Labor and Employment,Administrative procedure|Congressional oversight|Congressional veto|Department of Labor|Human engineering|Occupational health and safety|Repetitive stress injuries,Disapproving the rule of the Occupational Safety and Health Administration relating to ergonomics.,,,,"The bill disapproves an OSHA rule on ergonomics, which relates to occupational health and safety, not private employer wage or benefit obligations."
hr2111-112,112,2011-06-03,Public Lands and Natural Resources,"Alternative and renewable resources|Climate change and greenhouse gases|Congressional oversight|Dams and canals|Electric power generation and transmission|Endangered and threatened species|Energy efficiency and conservation|Environmental assessment, monitoring, research|Fishes|Government studies and investigations|Idaho|Lakes and rivers|Marine and coastal resources, fisheries|Marine and inland water transportation|Oregon|Railroads|Roads and highways|Washington State|Water use and supply|Wildlife conservation and habitat protection","To ensure that proper information gathering and planning are undertaken to secure the preservation and recovery of the salmon and steelhead of the Columbia River Basin in a manner that protects and enhances local communities, ensures effective expenditure of Federal resources, and maintains reasonably priced, reliable power, to direct the Secretary of Commerce to seek scientific analysis of Federal efforts to restore salmon and steelhead listed under the Endangered Species Act of 1973, and for other purposes.",Salmon Solutions and Planning Act,,,"The bill focuses on environmental and infrastructure studies related to salmon recovery and dam removal, with no connection to private employer wage or benefit obligations."
s920-107,107,2001-05-21,Taxation,Administrative fees|Apartment houses|Commemorations|Condominium (Housing)|Cooperative housing|Divorce|Enterprise zones|Federally-assisted loans|Historic sites|History|Home ownership|Income tax|Local laws|Married people|Mortgage banks|Mortgage interest rates|Mortgage loans|Personal income tax|Real estate appraisal|Residential rehabilitation|State laws|Tax credits|Urban affairs,A bill to amend the Internal Revenue Code of 1986 to provide a credit against income tax to individuals who rehabilitate historic homes or who are the first purchasers of rehabilitated historic homes for use as a principal residence.,Historic Homeownership Assistance Act,,,"The bill provides a tax credit for individuals rehabilitating historic homes, which does not relate to private employer wage or benefit obligations."
hr212-107,107,2001-01-03,,,"To ensure that Federal agencies establish the appropriate procedures for assessing whether or not Federal regulations might result in the taking of private property, and to direct the Secretary of Agriculture to report to the Congress with respect to such takings under programs of the Department of Agriculture.",Private Property Protection Act of 2001,,,"The bill addresses federal regulatory procedures and property rights, not private employer wage or benefit obligations."
hr6699-115,115,2018-09-04,Agriculture and Food,Child safety and welfare|Elementary and secondary education|Food assistance and relief|Nutrition and diet,To offset retaliatory duties against the United States by establishing a fund to promote the exports of United States agricultural commodities and products.,Agricultural Export Promotion Act of 2018,,,The bill establishes a fund to promote U.S. agricultural exports and does not address private employer wage or benefit obligations.
hr1776-113,113,2013-04-26,Public Lands and Natural Resources,"California|Lakes and rivers|Land transfers|Parks, recreation areas, trails|Wilderness and natural areas, wildlife refuges, wild rivers, habitats","To establish the Clear Creek National Recreation Area in San Benito and Fresno Counties, to designate the Joaquin Rocks Wilderness in such counties, to designate additional components of the national wild and scenic rivers system, and for other purposes.",Clear Creek National Recreation Area and Conservation Act,,,"The bill focuses on establishing and managing public lands and natural resources, with no relation to private employer wage or benefit obligations."
hr1179-113,113,2013-03-14,Health,"Health care coverage and access|Home and outpatient care|Hospital care|Long-term, rehabilitative, and terminal care|Medicare",To amend title XVIII of the Social Security Act to count a period of receipt of outpatient observation services in a hospital toward satisfying the 3-day inpatient hospital requirement for coverage of skilled nursing facility services under Medicare.,Improving Access to Medicare Coverage Act of 2013,,,"The bill modifies Medicare coverage criteria, which is a government benefit program, and does not involve private employer wage or benefit obligations."
hr2567-113,113,2013-06-27,Commerce,Administrative law and regulatory procedures|Child safety and welfare|Consumer Product Safety Commission|Firearms and explosives|Product safety and quality,"To require that all handguns manufactured, sold in, or imported into, the United States incorporate technology that precludes the average five year old child from operating the handgun when it is ready to fire.",Child Handgun Safety Act,,,"The bill addresses child safety and product safety standards for handguns, not private employer wage or benefit obligations."
s2504-115,115,2018-03-06,"Science, Technology, Communications",International organizations and cooperation|Israel|Middle East|Scientific communication|Space flight and exploration,"A bill to provide for continuing cooperation between the National Aeronautics and Space Administration and the Israel Space Agency, and for other purposes.",United States and Israel Space Cooperation Act,,,"The bill focuses on international cooperation in space exploration between NASA and the Israel Space Agency, with no relation to private employer wage or benefit obligations."
s1008-108,108,2003-05-07,Education,Career education|Elementary and secondary education|Federal aid to education|Higher education|Medical education|Secondary education,A bill to provide for the establishment of summer health career introductory programs for middle and high school students.,,,,The bill focuses on educational programs for students and does not address private employer wage or benefit obligations.
hr1499-108,108,2003-03-27,Health,Employee health benefits|Health insurance|Plastic surgery,To require health insurance coverage for certain reconstructive surgery.,Reconstructive Surgery Act of 2003,,,"The bill mandates health insurance coverage for reconstructive surgery, which does not directly regulate or enforce employer wage, hour, or benefit obligations related to corporate misconduct."
hr1622-113,113,2013-04-18,Commerce,Administrative remedies|Buy American requirements|Fraud offenses and financial crimes|Government information and archives|Public contracts and procurement|Small Business Administration|Small business|U.S. and foreign investments,To amend the Small Business Act to ensure fairness and transparency in contracting with small business concerns.,Fairness and Transparency in Contracting Act of 2013,,,"The bill addresses federal contracting and small business classification, not private employer wage or benefit obligations."
hr4167-113,113,2014-03-06,Finance and Financial Sector,"Bank accounts, deposits, capital|Banking and financial institutions regulation|Corporate finance and management|Credit and credit markets|Financial services and investments|Securities","To amend section 13 of the Bank Holding Company Act of 1956, known as the Volcker Rule, to exclude certain debt securities of collateralized loan obligations from the prohibition against acquiring or retaining an ownership interest in a hedge fund or private equity fund.",Restoring Proven Financing for American Employers Act,,,"The bill amends the Volcker Rule related to banking entities' ownership interests in collateralized loan obligations, which does not involve private employer wage or benefit obligations."
s1685-116,116,2019-05-23,Energy,"Climate change and greenhouse gases|Congressional oversight|Electric power generation and transmission|Energy research|Environmental assessment, monitoring, research|Environmental technology|Oil and gas|Research administration and funding|Research and development|Technology transfer and commercialization","A bill to require the Secretary of Energy to establish a program for the research, development, and demonstration of commercially viable technologies for the capture of carbon dioxide produced during the generation of natural gas-generated power.",Launching Energy Advancement and Development through Innovations for Natural Gas Act of 2019,,,"The bill focuses on energy research and development for carbon capture technologies, not on private employer wage or benefit obligations."
hr6097-112,112,2012-07-10,Health,Civil actions and liability|Comprehensive health care|Employee benefits and pensions|First Amendment rights|Health care costs and insurance|Health care coverage and access|Health promotion and preventive care|Religion|Sales and excise taxes|Women's health,To exempt employers from any excise tax and certain suits and penalties in the case of a failure of a group health plan to provide coverage to which an employer objects on the basis of religious belief or moral conviction.,Religious Freedom Tax Repeal Act of 2012,,,"The bill exempts employers from penalties related to health plan coverage requirements based on religious beliefs, which does not directly address wage, hour, or benefit obligations under the specified category."
s2562-109,109,2006-04-06,Armed Forces and National Security,Administrative procedure|Clothing|Cost of living adjustments|Department of Veterans Affairs|Disabled|Government publicity|Survivors' benefits|Veterans' disability compensation|Veterans' pensions,"A bill to increase, effective as of December 1, 2006, the rates of compensation for veterans with service-connected disabilities and the rates of dependency and indemnity compensation for the survivors of certain disabled veterans.",Veterans' Compensation Cost-of-Living Adjustment Act of 2006,,,"The bill adjusts compensation rates for veterans with service-connected disabilities, which involves government benefits, not private employer wage or benefit obligations."
s147-109,109,2005-01-25,Native Americans,Administrative procedure|Administrative remedies|Congressional reporting requirements|Delegation of powers|Department of the Interior|Directories|Executive reorganization|Federal-Indian relations|Federal-state relations|Government paperwork|Government publicity|Hawaii|Hawaiians|Homestead law|Indian claims|Indian lands|Land transfers|Legislation|Legislative amendments|Legislative resolutions|Limitation of actions|Minorities|Referendum|State government-Indian relations|State laws|Statehood (American politics),A bill to express the policy of the United States regarding the United States relationship with Native Hawaiians and to provide a process for the recognition by the United States of the Native Hawaiian governing entity.,Native Hawaiian Government Reorganization Act of 2005,,,"The bill addresses the reorganization and recognition of a Native Hawaiian governing entity, which does not involve private employer wage or benefit obligations."
hr2630-108,108,2003-06-26,Immigration,Admission of nonimmigrants|Aliens|Arrest|Crime prevention|Criminal investigation|Fines (Penalties)|Government publicity|Illegal aliens|Immigrants|Informers|Prosecution|Smuggling|Visas|Witnesses,"To prevent commercial alien smuggling, and for other purposes.",CASE Act of 2003,,,"The bill addresses immigration and criminal penalties related to alien smuggling, not private employer wage or benefit obligations."
hr2013-108,108,2003-05-07,Social Welfare,"Estates (Law)|Old age, survivors and disability insurance|Survivors' benefits","To amend title II of the Social Security Act to increase to $1,000 the maximum amount of the lump-sum death benefit and to allow for payment of such a benefit, in the absence of an eligible surviving spouse or child, to the legal representative of the estate of the deceased individual.",,,,"The bill amends Social Security benefits, which are government-administered, not related to private employer wage or benefit obligations."
s2746-113,113,2014-07-31,Health,Child health|Congressional oversight|Health information and medical records|Health personnel|Medical research,A bill to amend the Public Health Service Act to improve the health of children and help better understand and enhance awareness about unexpected sudden death in early life.,Sudden Unexpected Death Data Enhancement and Awareness Act,,,"The bill focuses on improving data collection and awareness about sudden unexpected deaths in children, with no relation to private employer wage or benefit obligations."
hr5104-112,112,2012-04-27,Foreign Trade and International Finance,Tariffs,To suspend temporarily the duty on ski poles and parts and accessories thereof.,,,,"The bill addresses tariff suspension on ski poles, which does not involve private employer wage or benefit obligations."
hr3909-110,110,2007-10-18,Armed Forces and National Security,Afghanistan|Avionics|Congress and military policy|Congressional investigations|Congressional reporting requirements|Defense procurement|Governmental investigations|Iraq|Iraq compilation|Middle East and North Africa|Military aircraft|Military airlift|Military operations|Military research|South Asia|Transport aircraft,To require a report on the size and mixture of the Air Force intertheater airlift force.,United States Airlift Requirements Act,,,The bill focuses on military airlift capabilities and does not involve private employer wage or benefit obligations.
hr2140-109,109,2005-05-05,Foreign Trade and International Finance,Herbicides|Tariff,"To suspend temporarily the duty on Mixtures of N,N-dimethyl-2[3-(4,6-dimethoxypyrimidin-2-yl)ureidosulfonyl ]-4-formylaminobenzamide (Foramsulfuron), methyl 4-iodo-2-[3-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)ureidosul fonyl]benzoate, sodium salt (Iodosulfuron), and application adjuvants.",,,,The bill addresses tariff suspensions on specific chemical mixtures and does not involve private employer wage or benefit obligations.
s611-111,111,2009-03-17,Health,"Child health|Drug, alcohol, tobacco use|HIV/AIDS|Health programs administration and funding|Health promotion and preventive care|Performance measurement|Sex and reproductive health|Sexually transmitted diseases","A bill to provide for the reduction of adolescent pregnancy, HIV rates, and other sexually transmitted diseases, and for other purposes.",Responsible Education About Life Act,,,"The bill focuses on health education and prevention of adolescent pregnancy and sexually transmitted diseases, with no relation to private employer wage or benefit obligations."
s3810-111,111,2010-09-21,International Affairs,"Arms control and nonproliferation|Congressional oversight|Diplomacy, foreign officials, Americans abroad|Foreign and international corporations|International organizations and cooperation|Iran|Marine and coastal resources, fisheries|Middle East|Nuclear weapons|Oil and gas|Sanctions|Terrorism|U.S. and foreign investments","A bill to restrict participation in offshore oil and gas leasing by a person who engages in any activity for which sanctions may be imposed under section 5 of the Iran Sanctions Act of 1996, to require the lessee under an offshore oil and gas lease to disclose any participation by the lessee in certain energy-related joint ventures, investments, or partnerships located outside Iran, and for other purposes.",Gulf Security and Iran Sanctions Enforcement Act,,,"The bill addresses sanctions related to offshore oil and gas leasing and international activities, not private employer wage or benefit obligations."
hr1993-110,110,2007-04-23,International Affairs,Administrative procedure|Alien property|Bank accounts|Congressional reporting requirements|Decision making|Department of State|Department of the Treasury|Government contractors|Money laundering|Performance measurement|Technical assistance|Terrorism,"To improve the delivery of counterterrorism financing training and technical assistance by providing for greater interagency coordination and cooperation, and for other purposes.",Counterterrorism Financing Coordination Act,,,"The bill focuses on interagency coordination for counterterrorism financing training and technical assistance, with no relation to private employer wage or benefit obligations."
hr748-109,109,2005-02-10,Crime and Law Enforcement,Abortion|Civil actions and liability|Fines (Penalties)|Minors|Parent and child|Physicians|State laws,"To amend title 18, United States Code, to prevent the transportation of minors in circumvention of certain laws relating to abortion, and for other purposes.",Child Interstate Abortion Notification Act,,,"The bill addresses criminal and civil liabilities related to the transportation of minors for abortions, which does not involve private employer wage or benefit obligations."
s2662-111,111,2009-11-02,Law,"Alternative dispute resolution, mediation, arbitration|Civil actions and liability|Congressional oversight|Health care quality|Health personnel|Insurance industry and regulation|Legal fees and court costs|State and local government operations","A bill to establish Federal standards for the resolution of health care malpractice claims, and for other purposes.",Fair Resolution of Medical Liability Disputes Act of 2009,,,"The bill addresses medical malpractice claims and alternative dispute resolution systems, which do not involve private employer wage or benefit obligations."
hr3318-111,111,2009-07-23,Finance and Financial Sector,Administrative law and regulatory procedures|Advisory bodies|Consumer affairs|Financial services and investments|Securities|Securities and Exchange Commission (SEC)|User charges and fees,To establish by law a permanent Investor Advisory Committee within the Securities and Exchange Commission to give investors a greater voice in the Securities and Exchange Commission's work.,Investor Advisory Committee Act of 2009,,,"The bill establishes an advisory committee within the SEC to address investor-related issues, which does not involve private employer wage or benefit obligations."
hr4329-107,107,2002-04-16,Foreign Trade and International Finance,Dyes and dyeing|Tariff,"To suspend temporarily the duty on 7,7'-[1.3-propanediylbis[imino(6-fluoro-1,3,5-triazine-4,2-d iyl)imino[2-[(aminocarbonyl)amino]-4,1-phenylene]azo]]bis-, sodium salt.",,,,"The bill addresses tariff suspension on a chemical, unrelated to private employer wage or benefit obligations."
hr2448-110,110,2007-05-23,Taxation,Diesel motor|Energy prices|Excise tax|Gasoline|Petroleum|Tax credits|Tax rates|Tax refunds,"To amend the Internal Revenue Code of 1986 to reduce the Federal excise tax on highway motor fuels when the weekly United States retail gasoline price, regular grade, is greater than $3.00 per gallon.",Emergency Gas Price Relief Act of 2007,,,The bill addresses excise tax reductions on motor fuels and does not involve private employer wage or benefit obligations.
hr317-109,109,2005-01-25,Law,Appellate courts|Appellate procedure|Congressional reporting requirements|District courts|Judges|Judicial districts|Judicial reform|Judicial review|Jurisdiction|Supreme Court|Virgin Islands,To establish the District Court of the Virgin Islands as a court under article III of the United States Constitution.,Judicial District of the Virgin Islands Act of 2005,,,"The bill addresses judicial reform and jurisdiction in the Virgin Islands, with no relation to private employer wage or benefit obligations."
hr3287-108,108,2003-10-10,Commemorations,Civil rights workers|Commemorations|Congressional gold medals|Desegregation in education|Elementary and secondary education|Supreme Court decisions,"To award congressional gold medals posthumously on behalf of Reverend Joseph A. DeLaine, Harry and Eliza Briggs, and Levi Pearson in recognition of their contributions to the Nation as pioneers in the effort to desegregate public schools that led directly to the landmark desegregation case of Brown et al. v. the Board of Education of Topeka et al.",,,,"The bill awards congressional gold medals for contributions to desegregation, unrelated to private employer wage or benefit obligations."
hr442-112,112,2011-01-25,Public Lands and Natural Resources,Administrative remedies|Department of the Interior|Mining|User charges and fees,"To amend the Omnibus Budget Reconciliation Act of 1993 to require the Bureau of Land Management to provide a claimant of a small miner waiver from claim maintenance fees with a period of 60 days after written receipt of 1 or more defects is provided to the claimant by registered mail to cure the 1 or more defects or pay the claim maintenance fee, and for other purposes.",,,,"The bill addresses administrative procedures for small miner claim maintenance fees, which does not involve private employer wage or benefit obligations."
hr2412-113,113,2013-06-18,Armed Forces and National Security,Administrative remedies|Department of Veterans Affairs|Health care coverage and access|Public contracts and procurement|Veterans' medical care,"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to consider the best interest of the veteran when determining whether the veteran should receive certain contracted health care.",Veterans Health Access Act,,,"The bill addresses veterans' access to healthcare services through the VA, not private employer wage or benefit obligations."
hr921-108,108,2003-02-26,Congress,Budget deficits|Congressional Record|Congressional allowances|Congressional publicity|Federal budgets|House of Representatives|Members of Congress|Public debt,"To require amounts remaining in Members' representational allowances at the end of a fiscal year to be used for deficit reduction or to reduce the Federal debt, and for other purposes.",,,,"The bill addresses the use of unspent congressional allowances for deficit reduction, not private employer wage or benefit obligations."
s923-110,110,2007-03-20,Public Lands and Natural Resources,Connecticut|Environmental assessment|Massachusetts|New Hampshire|Trails,"A bill to amend the National Trails System Act to designate the New England National Scenic Trail, and for other purposes.",New England National Scenic Trail Designation Act,,,"The bill designates a national scenic trail and involves public lands management, with no relation to private employer wage or benefit obligations."
