bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title,claude_categories,claude_bill_type,claude_reason
hr2054-107,107,2001-06-05,Government Operations and Politics,Airports|Boundaries|Congressional oversight|Interstate compacts|Land transfers|Nevada|Referendum|State laws|Utah,"To give the consent of Congress to an agreement or compact between Utah and Nevada regarding a change in the boundaries of those States, and for other purposes.",,,,"This bill concerns an interstate boundary compact between Utah and Nevada involving land transfers and does not regulate private employer wage, hour, or benefit obligations."
s1498-111,111,2009-07-22,Transportation and Public Works,Government trust funds|Public contracts and procurement|Roads and highways|Transportation programs funding|Transportation safety and security,"An original bill to provide an extension of highway programs authorized under the Safe, Accountable, Flexible, Efficient Transportation Equity Act: A Legacy for Users.",Surface Transportation Extension Act of 2009,,,"This bill authorizes appropriations for federal highway and transportation programs; it does not regulate private employer wage, hour, or benefit obligations."
hr3409-113,113,2013-10-30,Public Lands and Natural Resources,"Congressional oversight|Wilderness and natural areas, wildlife refuges, wild rivers, habitats",To amend the National Wildlife Refuge System Administration Act of 1966 to require that any expansion of a national wildlife refuge must be expressly authorized by statute.,National Wildlife Refuge Expansion Limitation Act of 2013,,,"This bill concerns congressional oversight of national wildlife refuge expansion and does not address private employer wage, hour, benefit obligations, or any conduct related to FLSA, WARN Act, ERISA, or FMLA violations."
s20-109,109,2005-01-24,Health,AIDS (Disease)|Access to health care|Ambulatory care|Child development|Child health|Church and social problems|Civics education|Coinsurance|Community health services|Condoms|Congressional reporting requirements|Consumer discounts|Consumer education|Contraceptives|Discrimination in insurance|Discrimination in medical care|Drugs|Elementary and secondary education|Emergency medicine|Employee health benefits|Evaluation research (Social action programs)|Family planning and birth control|Federal aid to health facilities|Generic drugs|Government publicity|Grants-in-aid|Health education|Health insurance|Hospital care|Hospitals|Human immunodeficiency viruses|Immigrant health|Insurance companies|Language and languages|Marriage|Medicaid|Medical fees|Medically uninsured|Nonprofit organizations|Prescription pricing|Preventive medicine|Public service advertising|Rebates|Religion|School health programs|School-age child care|Service learning|Sex|Sex education|Sexual abstinence|Teenage pregnancy|Victims of crimes|Welfare eligibility|Women|Youth services,"A bill to expand access to preventive health care services that help reduce unintended pregnancy, reduce the number of abortions, and improve access to women's health care.",Prevention First Act,1,enforcement,"The bill amends ERISA to prohibit group health plans from excluding or restricting benefits for prescription contraceptive drugs and devices if they cover other prescription drugs, directly regulating private employer-sponsored health benefit plan obligations."
hr2042-107,107,2001-05-26,Taxation,Capital gains tax|Income tax|Personal income tax|Tax exclusion,To amend the Internal Revenue Code of 1986 to eliminate the tax on the net capital gain of taxpayers other than corporations.,Job Creation Act of 2001,,,"This bill eliminates capital gains tax for individual taxpayers, which is a general tax policy change unrelated to private employer wage, hour, benefit obligations, or any conduct covered by FLSA, WARN, ERISA, or FMLA."
hr4524-106,106,2000-05-23,Agriculture and Food,Agricultural credit|Agricultural subsidies|Marketing of farm produce,To amend the Agricultural Market Transition Act to increase the number of farmers eligible for nonrecourse marketing assistance loans or loan deficiency payments and the amount of production for which such loans and payments are available.,,,,"This bill concerns agricultural subsidies and marketing assistance loans for farmers, not private employer obligations related to wages, hours, benefits, or workplace protections."
s1605-112,112,2011-09-22,"Civil Rights and Liberties, Minority Issues","Civil actions and liability|Housing discrimination|Housing finance and home ownership|Housing for the elderly and disabled|Marriage and family status|Sex, gender, sexual orientation discrimination","A bill to amend the Fair Housing Act, and for other purposes.",HOME Act of 2011,,,"This bill amends the Fair Housing Act and related civil rights laws to expand protected classes and anti-discrimination provisions in housing and credit, but does not address private employer wage, hour, or benefit obligations."
hr5110-111,111,2010-04-22,Public Lands and Natural Resources,Arizona|Government studies and investigations|Historical and cultural resources|Intergovernmental relations|Land transfers|Monuments and memorials|State and local government operations|Water use and supply,"To modify the boundary of the Casa Grande Ruins National Monument, and for other purposes.",Casa Grande Ruins National Monument Boundary Modification Act of 2010,,,"This bill modifies the boundary of a national monument and transfers administrative jurisdiction of federal lands between government agencies; it does not regulate private employer wage, hour, or benefit obligations."
hr6162-112,112,2012-07-19,Taxation,Child health|Health care costs and insurance|Income tax deductions|Sex and reproductive health|Women's health,"To amend the Internal Revenue Code of 1986 to permit health plans without a deductible for prenatal, labor and delivery, and postpartum care to be treated as high deductible plans with respect to health savings accounts.",Ensuring Women's Access to Free-Market Healthcare Act of 2012,,,"This bill modifies HSA eligibility rules for individual health plan participants, not employer wage, hour, or benefit obligations under FLSA, WARN, ERISA, or FMLA."
hr4335-107,107,2002-04-16,Foreign Trade and International Finance,Machinery|Tariff,To suspend temporarily the duty on certain machinery parts.,,,,"This bill suspends tariffs on machinery parts imports and does not relate to private employer wage, hour, benefit obligations, or any conduct covered by FLSA, WARN Act, ERISA, or FMLA."
hr2571-113,113,2013-06-28,Finance and Financial Sector,Banking and financial institutions regulation|Business records|Consumer affairs|Government information and archives|Right of privacy,"To amend the Dodd-Frank Wall Street Reform and Consumer Protection Act to require the Bureau of Consumer Financial Protection to notify and obtain permission from consumers before collecting nonpublic personal information about such consumers, and for other purposes.",Consumer Right to Financial Privacy Act of 2013,,,"This bill regulates the Consumer Financial Protection Bureau's collection of consumer financial data from financial institutions, addressing consumer privacy rights rather than private employer wage, hour, or benefit obligations."
hr30-114,114,2015-01-06,Taxation,Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes,To amend the Internal Revenue Code of 1986 to repeal the 30-hour threshold for classification as a full-time employee for purposes of the employer mandate in the Patient Protection and Affordable Care Act and replace it with 40 hours.,Save American Workers Act of 2015,,,"This bill modifies the ACA employer mandate's definition of full-time employee for health coverage purposes, which relates to tax penalties under the ACA rather than wage, hour, overtime, pension mismanagement, or leave retaliation violations covered by FLSA, ERISA, FMLA, or WARN Act."
hr565-108,108,2003-02-05,Commerce,Disaster loans|Droughts|Federal-state relations|Government lending|Government paperwork|Small business,To provide emergency assistance to certain small business concerns that have suffered substantial economic injury from drought.,Small Business Drought Relief Act of 2003,,,"This bill addresses SBA disaster loan assistance to small businesses affected by drought, which relates to government lending programs rather than private employer wage, hour, or benefit obligations."
hr3108-113,113,2013-09-17,Agriculture and Food,American Samoa|Caribbean area|Food assistance and relief|Poverty and welfare assistance|Puerto Rico|U.S. territories and protectorates,To amend the American Recovery and Reinvestment Act of 2009 to extend the period during which supplemental nutrition assistance program benefits are temporarily increased.,Extend Not Cut SNAP Benefits Act,,,"This bill extends SNAP (food stamps) benefits, which is a government public assistance program for low-income individuals, not a regulation of private employer wage, hour, or benefit obligations."
hr2272-109,109,2005-05-11,Foreign Trade and International Finance,Chemicals|Plastics|Tariff,To suspend temporarily the duty on Desmodur HL.,,,,"This bill suspends import duties on a specific chemical product and does not regulate private employer wage, hour, benefit obligations, or any conduct associated with Wage Hour & Benefits violations."
s2296-112,112,2012-04-18,Education,Education programs funding|Government lending and loan guarantees|Higher education|Marketing and advertising|School administration|Student aid and college costs,"A bill to amend the Higher Education Opportunity Act to restrict institutions of higher education from using revenues derived from Federal educational assistance funds for advertising, marketing, or recruiting purposes.",Protecting Financial Aid for Students and Taxpayers Act,,,"This bill restricts how postsecondary educational institutions use federal educational assistance funds for advertising and recruiting, but does not address private employer wage, hour, or benefit obligations."
s2823-110,110,2008-04-07,Transportation and Public Works,American Samoa|Bridges|Budget deficits|Congressional oversight|Congressional reporting requirements|Diesel motor|Disaster relief|Excise tax|Federal aid to transportation|Forest roads|Gasoline|Government lending|Government paperwork|Government trust funds|Guam|Highway finance|Highway maintenance|Highway planning|Highway use tax|Indian lands|Infrastructure|Interstate compacts|Interstate highway system|Limited access highways|Mass rapid transit|Minorities|National forests|National parks|Northern Mariana Islands|Public-private partnerships|Road construction|Tax rates|Toll roads|Traffic accidents and safety|Transportation research|Virgin Islands|Wildlife refuges,"A bill to empower States with authority for most taxing and spending for highway programs and mass transit programs, and for other purposes.",Transportation Empowerment Act,,,"This bill restructures federal highway and transit funding mechanisms and adjusts fuel excise taxes, but does not regulate private employer wage, hour, or benefit obligations."
s157-114,114,2015-01-13,Health,"Business records|Comprehensive health care|Employee benefits and pensions|Government information and archives|Health care costs and insurance|Health care coverage and access|Health technology, devices, supplies|Sales and excise taxes|Wages and earnings",A bill to repeal the medical device tax and the employer and individual responsibility requirements of the Patient Protection and Affordable Care Act.,No Obamacare Mandate Act,,,"This bill repeals the ACA employer mandate penalty, which is a tax penalty for not offering health insurance rather than enforcement of wage, hour, or benefit obligations like overtime pay, minimum wage, pension management, or FMLA leave protections."
hr5486-112,112,2012-05-07,Foreign Trade and International Finance,Tariffs,"To suspend temporarily the rate of duty on outer soles and heels, of rubber or plastics.",,,,"This bill suspends tariffs on imported rubber or plastic outer soles and heels, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
hr2297-116,116,2019-04-12,Taxation,"Computers and information technology|Department of the Treasury|Internal Revenue Service (IRS)|Public contracts and procurement|Tax administration and collection, taxpayers",To amend the Internal Revenue Code of 1986 to establish a free online tax preparation and filing service and programs that allow taxpayers to access third-party provided tax return information.,Tax Filing Simplification Act of 2019,,,"This bill establishes IRS-provided tax preparation and filing services for individual taxpayers; it does not regulate private employer wage, hour, or benefit obligations."
s2361-108,108,2004-04-29,Health,Communication in medicine|Congressional reporting requirements|Data banks|Department of Health and Human Services|Executive reorganization|Federal advisory bodies|Federal aid to education|Federal aid to health facilities|Federal aid to research|Federal employees|Federal officials|Government paperwork|Health education|Higher education|Medical education|Medical research|Medical residents|Recruiting of employees|Research centers|Scholarships|Scientists|Student loan funds|Urology,"A bill to amend the Public Health Service Act to enhance research, training, and health information dissemination with respect to urologic diseases, and for other purposes.",Training and Research in Urology Act of 2004,,,"This bill reorganizes federal research infrastructure and funding for urologic disease research within HHS and establishes loan repayment programs for researchers, but does not regulate private employer wage, hour, or benefit obligations."
s316-111,111,2009-01-26,Taxation,"Capital gains tax|Energy revenues and royalties|Forests, forestry, trees|Income tax rates|Mining|Real estate business","A bill to amend the Internal Revenue Code of 1986 to make permanent the reduction in the rate of tax on qualified timber gain of corporations, and for other purposes.",Timber Revitalization and Economic Enhancement Act II of 2009,,,"This bill addresses corporate tax rates on timber gains and REIT treatment, which relates to business taxation and capital gains, not to private employer wage, hour, or benefit obligations."
hr3111-107,107,2001-10-12,Finance and Financial Sector,"Air piracy|Alternative energy sources|Bombings|Commercial aircraft|Department of Defense|EBB Terrorism|Energy development|Energy security|Federal installations|Federal office buildings|Infrastructure|Infrastructure (Economics)|New York City|Office buildings|Pennsylvania|Renewable natural resources|Savings bonds|September 11, 2001|Terrorism|Virginia",To authorize the Secretary of the Treasury to issue 21st Century Independence Savings Bonds.,21st Century Independence Savings Bonds Act of 2001,,,"This bill authorizes Treasury savings bonds to fund energy independence and infrastructure projects; it does not regulate private employer wage, hour, or benefit obligations."
hr1750-115,115,2017-03-28,Taxation,Agricultural equipment and machinery|Farmland|Income tax exclusion|Inflation and prices|Securities,"To amend the Internal Revenue Code of 1986 to expand certain exceptions to the private activity bond rules for first-time farmers, and for other purposes.",Facilitating Farmers' Access to Resources and Machinery Act,,,"This bill modifies private activity bond financing rules for first-time farmers to purchase land and equipment, which relates to agricultural financing and tax-exempt securities, not to private employer wage, hour, or benefit obligations."
hr69-116,116,2019-01-03,Education,"Academic performance and assessments|Education of the disadvantaged|Education programs funding|Elementary and secondary education|Teaching, teachers, curricula","To amend part A of title I of the Elementary and Secondary Education Act of 1965 to allow States, in accordance with State law, to let Federal funds for the education of disadvantaged children follow low-income children to the public school, charter school, accredited private school, or supplemental educational service program they attend, and for other purposes.",Ending Common Core and Expanding School Choice Act,,,"This bill concerns federal education funding for disadvantaged students and school choice, not private employer wage, hour, or benefit obligations."
s1467-115,115,2017-06-28,Armed Forces and National Security,"Allied health services|Congressional oversight|Disability and paralysis|Education programs funding|Educational facilities and institutions|Health technology, devices, supplies|Higher education|Medical education|Medical research|Military medicine|Research administration and funding|Teaching, teachers, curricula|Veterans' education, employment, rehabilitation|Veterans' medical care","A bill to require the Secretary of Veterans Affairs to award grants to establish, or expand upon, master's degree programs in orthotics and prosthetics, and for other purposes.",Wounded Warrior Workforce Enhancement Act,,,"This bill funds VA grants for educational programs in orthotics and prosthetics to benefit veterans and service members; it does not regulate private employer wage, hour, or benefit obligations."
s311-108,108,2003-02-05,Transportation and Public Works,Administrative procedure|Airlines|Airports|Antimissile missiles|Aviation safety|Coast guard|Commercial aircraft|Congressional reporting requirements|Department of Transportation|Federal aid to transportation|National Guard|Security measures|Terrorism,"A bill to direct the Secretary of Transportation to issue regulations requiring turbojet aircraft of air carriers to be equipped with missile defense systems, and for other purposes.",Commercial Airline Missile Defense Act,,,"This bill mandates missile defense systems on commercial aircraft to address aviation security and terrorism threats, not private employer wage, hour, or benefit obligations."
hr3834-106,106,2000-03-06,Housing and Community Development,Federal aid to housing|Federally-guaranteed loans|Low-income housing|Moderate income housing|Mortgage interest rates|Mortgage loans|Rural housing|Single family housing,To amend the rural housing loan guarantee program under section 502(h) of the Housing Act of 1949 to provide loan guarantees for loans made to refinance existing mortgage loans guaranteed under such section.,Homeowners Financing Protection Act,,,"This bill concerns federal loan guarantees for rural housing refinancing and does not address private employer wage, hour, benefit obligations, or any conduct constituting employer misconduct under the Wage Hour & Benefits category."
hr5238-107,107,2002-07-25,Public Lands and Natural Resources,Archaeology|Commemorations|Congressional reporting requirements|Geothermal resources|Historic sites|History|Land transfers|Mines and mineral resources|Mining leases|Minorities|New Mexico,"To provide for the protection of archeological sites in the Galisteo Basin in New Mexico, and for other purposes.",Galisteo Basin Archeological Protection Act,,,"This bill designates and protects archaeological sites on federal and private lands in New Mexico; it does not regulate private employer wage, hour, or benefit obligations."
s1563-113,113,2013-09-30,Transportation and Public Works,Administrative law and regulatory procedures|Air quality|Alternative and renewable resources|Department of Energy|Government lending and loan guarantees|Motor fuels|Motor vehicles|Pipelines|Transportation programs funding,A bill to provide for the expansion of the biofuels market.,Biofuels Market Expansion Act of 2013,,,"This bill addresses renewable fuel infrastructure, vehicle manufacturing requirements, and loan guarantees for biofuel projects, which relate to environmental and energy policy rather than private employer wage, hour, or benefit obligations."
hr2677-115,115,2017-05-25,Health,"Alaska Natives and Hawaiians|Drug, alcohol, tobacco use|Health promotion and preventive care|Indian social and development programs|Mental health|Minority health","To amend the Public Health Service Act to provide for behavioral and mental health outreach and education strategies to reduce stigma associated with mental health among the Asian American, Native Hawaiian, and Pacific Islander population.",Stop Mental Health Stigma in Our Communities Act,,,"This bill addresses public health outreach and mental health stigma reduction in specific populations, with no connection to private employer wage, hour, benefit obligations, or related workplace conduct."
hr3168-109,109,2005-06-30,Health,Clinical trials|Cytology|Federal aid to health facilities|Federal aid to research|Genetic research|Genetics|Human experimentation in medicine|Imaging systems in medicine|Medical centers|Medical research|Medical technology|Medical tests|Pharmaceutical research|Physiology|Research and development|Research and development facilities|Research centers|Research grants,To amend the Public Health Service Act to provide for Centers for Clinical Discovery through grants from the Director of the Agency for Healthcare Research and Quality.,,,,"This bill establishes research grants for medical centers focused on clinical discovery and therapeutic development; it does not regulate private employer wage, hour, or benefit obligations."
s1265-109,109,2005-06-16,Environmental Protection,Automobile engines|Commercialization|Congressional reporting requirements|Construction equipment|Diesel motor|Emissions trading|Environmental technology|Federal aid to air pollution control|Government lending|International environmental cooperation|Marine engines|Motor vehicle pollution control|Railroad equipment|Revolving funds|Technological innovations|Technology transfer|Trucks,"A bill to make grants and loans available to States and other organizations to strengthen the economy, public health, and environment of the United States by reducing emissions from diesel engines.",Diesel Emissions Reduction Act of 2005,,,"This bill provides grants and loans to reduce diesel emissions from vehicles and equipment, addressing environmental pollution control rather than private employer wage, hour, or benefit obligations."
s2519-109,109,2006-04-05,Foreign Trade and International Finance,Pesticides|Tariff,A bill to suspend temporarily the duty on Spiromesifen.,,,,"This bill suspends import duties on a specific pesticide chemical and does not relate to private employer wage, hour, or benefit obligations."
hr3876-107,107,2002-03-06,Public Lands and Natural Resources,Administrative procedure|Auditing|Commemorations|Cultural property|Department of the Interior|Exhibitions|Federal-local relations|Government paperwork|Grants-in-aid|Historic sites|Land use|Nature conservation|Outdoor recreation|Planning|Regional economic development|Regional planning|Signs and signboards|Utah,"To establish the San Rafael Western Frontier National Heritage Area in the State of Utah, and for other purposes.",San Rafael Western Frontier National Heritage Area Act,,,"This bill establishes a National Heritage Area in Utah and designates a local coordinating entity; it does not regulate private employer wage, hour, or benefit obligations."
hr6243-110,110,2008-06-11,Taxation,Ambulances|Excise tax|Gasoline|Tax exemption,To amend the Internal Revenue Code of 1986 to provide an exemption from the Federal motor fuels excise tax for ground emergency and non-emergency ambulance services.,Ambulance Fuel Tax Relief Act of 2008,,,"This bill provides a fuel excise tax exemption for ambulance services and does not regulate private employer wage, hour, or benefit obligations."
hr5442-113,113,2014-09-10,Finance and Financial Sector,Business records|Corporate finance and management|Financial services and investments|Government information and archives|Securities|State and local taxation,To amend the Securities Exchange Act of 1934 to require the disclosure of total corporate tax paid by a corporation in each annual report required to be filed under such Act.,Corporate Transparency and Accountability Act,,,"This bill requires corporate tax disclosure in securities filings but does not regulate employer wage, hour, or benefit obligations or introduce tax credits related to such conduct."
hr5926-110,110,2008-04-30,Public Lands and Natural Resources,Montana|National parks|Northwestern States|Trails|Washington State,To amend the National Trails System Act to designate the Pacific Northwest National Scenic Trail.,Pacific Northwest National Scenic Trail Act of 2008,,,"This bill designates a national scenic trail through public lands and has no connection to private employer wage, hour, benefit obligations, or any other form of corporate employer misconduct."
hr4393-106,106,2000-05-08,Health,Federal aid to child health services|Health insurance|Medically uninsured|Poor children,To provide that amounts allotted to a State under section 2104 of the Social Security Act for each of fiscal years 1998 and 1999 shall remain available through fiscal year 2002.,State Children's Health Insurance Program (SCHIP) Preservation Act of 2000,,,"This bill extends the availability of federal SCHIP allotments to states for children's health insurance coverage, which is a government benefit program rather than a regulation of private employer wage, hour, or benefit obligations."
hr2180-115,115,2017-04-26,Armed Forces and National Security,Assault and harassment offenses|Crime victims|Crimes against women|Emergency medical services and trauma care|Family planning and birth control|HIV/AIDS|Health care costs and insurance|Health facilities and institutions|Health information and medical records|Health promotion and preventive care|Military facilities and property|Military medicine|Military personnel and dependents|Sex offenses|Sexually transmitted diseases|Women's health,"To amend title 10, United States Code, to ensure that women members of the Armed Forces and their families have access to the contraception they need in order to promote the health and readiness of all members of the Armed Forces, and for other purposes.",Access to Contraception for Women Servicemembers and Dependents Act of 2017,,,"This bill expands TRICARE healthcare benefits for military servicemembers and their dependents, which are government-administered benefits for government employees and their families, not private employer wage, hour, or benefit obligations."
hr1770-110,110,2007-03-29,Taxation,Administrative procedure|Corrosion|Department of the Treasury|Income tax|Licenses|Tax credits,To amend the Internal Revenue Code of 1986 to encourage the use of corrosion prevention and mitigation measures in the construction and maintenance of business property.,Corrosion Prevention Act of 2007,,,"This bill introduces a tax credit for corrosion prevention technology in business property construction, which relates to general business investment and maintenance practices, not to employer wage, hour, or benefit obligations."
hr2170-115,115,2017-04-26,Finance and Financial Sector,Disaster relief and insurance|Farmland|Floods and storm protection|Land use and conservation,"To amend the National Flood Insurance Act of 1968 to allow the repair, expansion, and construction, without elevation, of agricultural structures located in special flood hazard zones, and for other purposes.",Flood and Agriculture Risk Management Cost Reduction Act of 2017,,,"This bill addresses flood insurance requirements and mapping for agricultural structures, which relates to property insurance and disaster management rather than employer wage, hour, or benefit obligations."
s2844-111,111,2009-12-07,Crime and Law Enforcement,Civil actions and liability|Criminal procedure and sentencing|Fraud offenses and financial crimes|Military operations and strategy|Military personnel and dependents|Postal service|Terrorism,"A bill to amend title 18, United States Code, to improve the terrorist hoax statute.",Terrorist Hoax Improvements Act of 2009,,,"This bill addresses criminal penalties and civil liability for terrorist hoaxes and threatening communications, which relates to criminal law enforcement rather than private employer wage, hour, or benefit obligations."
hjres88-112,112,2011-11-15,"Civil Rights and Liberties, Minority Issues","Constitution and constitutional amendments|Corporate finance and management|Elections, voting, political campaign regulation|First Amendment rights|Political advertising","Proposing an amendment to the Constitution of the United States to clarify the authority of Congress and the States to regulate corporations, limited liability companies or other corporate entities established by the laws of any state, the United States, or any foreign state.",,,,"This constitutional amendment addresses corporate personhood and campaign finance regulation, not private employer wage, hour, or benefit obligations under laws like FLSA, WARN, ERISA, or FMLA."
hr5958-112,112,2012-06-18,Public Lands and Natural Resources,"Congressional tributes|Government buildings, facilities, and property|Judges|Members of Congress|New York City|Parks, recreation areas, trails|Senate|Wilderness and natural areas, wildlife refuges, wild rivers, habitats",To name the Jamaica Bay Wildlife Refuge Visitor Contact Station of the Jamaica Bay Wildlife Refuge unit of Gateway National Recreation Area in honor of James L. Buckley.,,,,"This bill designates a federal building name at a wildlife refuge and does not address any private employer wage, hour, benefit obligations, or related corporate misconduct."
hr5543-111,111,2010-06-16,Armed Forces and National Security,"Administrative law and regulatory procedures|Department of Veterans Affairs|Employee benefits and pensions|Government employee pay, benefits, personnel management|Labor-management relations","To amend title 38, United States Code, to repeal the prohibition on collective bargaining with respect to matters and questions regarding compensation of employees of the Department of Veterans Affairs other than rates of basic pay, and for other purposes.",,,,"This bill concerns collective bargaining rights for Department of Veterans Affairs employees, who are government workers, not employees of a non-governmental employer subject to private-sector wage and hour violations."
hr3891-110,110,2007-10-18,Public Lands and Natural Resources,Corporation directors|Foundations|Wildlife conservation,To amend the National Fish and Wildlife Foundation Establishment Act to increase the number of Directors on the Board of Directors of the National Fish and Wildlife Foundation.,National Fish and Wildlife Foundation Establishment Act Amendment of 2008,,,"This bill amends governance structure of the National Fish and Wildlife Foundation by changing board composition, with no connection to private employer wage, hour, benefit obligations, or related misconduct."
s2369-109,109,2006-03-06,Crime and Law Enforcement,Bank records|Business records|Consumer credit|Counterintelligence|Criminal investigation|Foreign agents|Judicial review|Right of privacy|Searches and seizures|Sunset legislation|Telephone|Terrorism|Warrants (Law),"A bill to require a more reasonable period for delayed-notice search warrants, to provide enhanced judicial review of FISA orders and national security letters, to require an enhanced factual basis for a FISA order, and to create national security letter sunset provisions.",,,,"This bill addresses surveillance, search warrants, and national security letters in criminal and counterintelligence investigations; it does not regulate private employer wage, hour, or benefit obligations."
hr475-114,114,2015-01-22,Armed Forces and National Security,"Government information and archives|Higher education|Student aid and college costs|Veterans' education, employment, rehabilitation","To amend title 38, United States Code, to make certain improvements in the laws administered by the Secretary of Veterans Affairs relating to educational assistance, and for other purposes.",GI Bill Processing Improvement Act of 2015,,,"This bill addresses VA educational assistance programs for veterans and service members, which are government benefits administered to military personnel, not private employer wage, hour, or benefit obligations."
s593-111,111,2009-03-12,Health,"Administrative law and regulatory procedures|Department of Health and Human Services|Food industry and services|Food supply, safety, and labeling|Hazardous wastes and toxic substances|Health promotion and preventive care|Product safety and quality|Sex and reproductive health","A bill to ban the use of bisphenol A in food containers, and for other purposes.",Ban Poisonous Additives Act of 2009,,,"This bill regulates food container safety by banning bisphenol A in food packaging and requiring safety reviews of food contact substances; it does not address private employer wage, hour, benefit obligations, or related workplace conduct."
s3192-111,111,2010-04-12,Armed Forces and National Security,"Administrative remedies|Judicial review and appeals|Specialized courts|Veterans' education, employment, rehabilitation|Veterans' pensions and compensation","A bill to amend title 38, United States Code, to provide for the tolling of the timing of review for appeals of final decisions of the Board of Veterans' Appeals, and for other purposes.",Fair Access to Veterans Benefits Act of 2010,,,"This bill concerns appeals procedures for veterans' benefits decisions through the Board of Veterans' Appeals and Court of Veterans Appeals, which involves government-administered benefits to veterans, not private employer wage, hour, or benefit obligations."
hr1685-114,114,2015-03-26,Emergency Management,Administrative law and regulatory procedures|Department of Homeland Security|Disaster relief and insurance|Economic performance and conditions|Federal Emergency Management Agency (FEMA)|Poverty and welfare assistance|Sales and excise taxes|State and local taxation,"To require rulemaking by the Administrator of the Federal Emergency Management Agency to address considerations in evaluating the need for public and individual disaster assistance, and for other purposes.",Fairness in Federal Disaster Declarations Act of 2015,,,"This bill concerns FEMA's criteria for evaluating disaster declarations and federal disaster assistance to states and individuals, not private employer wage, hour, or benefit obligations."
hr7296-110,110,2008-11-20,Government Operations and Politics,"Administrative law and regulatory procedures|Congressional oversight|Presidents and presidential powers, Vice Presidents",To delay the implementation of agency rules adopted within the final 90 days of the final term a President serves.,Midnight Rule Act,,,"This bill addresses the timing and approval process for federal agency rules adopted during presidential transitions, involving administrative procedure and congressional oversight, but does not regulate private employer wage, hour, or benefit obligations."
hr2392-114,114,2015-05-18,Government Operations and Politics,"Congressional elections|Elections, voting, political campaign regulation|Government information and archives|Intergovernmental relations|State and local government operations","To amend the National Voter Registration Act of 1993 to require an applicant for voter registration for elections for Federal office to affirmatively state that the applicant meets the eligibility requirements for voting in such elections as a condition of completing the application, to require States to verify that an applicant for registering to vote in such elections meets the eligibility requirements for voting in such elections prior to registering the applicant to vote, and for other purposes.",Restoring Important Voter Eligibility Requirements to States Act of 2014,,,"This bill concerns voter registration procedures and election administration, which involves government operations and political processes, not private employer wage, hour, or benefit obligations."
hr4250-109,109,2005-11-08,Foreign Trade and International Finance,Administrative fees|Alien labor|Americans in foreign countries|Congressional reporting requirements|Data banks|Department of Commerce|Developing countries|Electronic government information|Embassies|Executive reorganization|Exports|Federal employees|Federal officials|Foreign trade promotion|Government paperwork|Government publicity|Internet|Marketing|Relocation|Security measures|Small business|Web sites,"To eliminate fees for assistance provided by the Department of Commerce and agencies thereof under export promotion programs, to authorize appropriations for such purpose, to direct the Secretary of Commerce to take certain steps to expand export promotion activities, and for other purposes.",United States Export Promotion Act of 2005,,,"This bill addresses export promotion programs, trade missions, and Commerce Department services for U.S. businesses abroad; it does not regulate private employer wage, hour, or benefit obligations."
s1396-108,108,2003-07-11,Health,Ambulatory care|Coinsurance|Contraceptives|Discrimination in insurance|Discrimination in medical care|Employee health benefits|Health insurance|Physicians|Rebates|Standards,"A bill to require equitable coverage of prescription contraceptive drugs and devices , and contraceptive services under health plans.",Equity in Prescription Insurance and Contraceptive Coverage Act of 2003,,,"This bill regulates health insurance coverage requirements for contraceptives under employee health benefit plans but does not address employer violations of wage, hour, overtime, pension mismanagement, or leave retaliation obligations."
hr4035-111,111,2009-11-05,Taxation,"Tax administration and collection, taxpayers|Transfer and inheritance taxes",To amend the Internal Revenue Code of 1986 to allow the estate of a decedent to use the capital loss carryover of the decedent as a deduction against estate tax.,Community-Based Mental Health Infrastructure Improvements Act,,,"This bill concerns estate tax deductions for capital loss carryovers at death, which relates to individual taxpayer estate planning and tax administration, not to private employer wage, hour, or benefit obligations."
s2313-112,112,2012-04-19,Foreign Trade and International Finance,Tariffs,"A bill to extend the temporary suspension of duty on camel hair, processed beyond the degreased or carbonized condition.",,,,"This bill concerns tariff suspension on imported camel hair and does not relate to private employer wage, hour, or benefit obligations."
s2224-112,112,2012-03-22,International Affairs,Arms control and nonproliferation|Congressional oversight|Middle East|Political movements and philosophies|Protest and dissent|Syria|Terrorism,A bill to require the President to report to Congress on issues related to Syria.,,,,"This bill requires presidential reports on Syrian opposition groups, weapons stockpiles, and U.S. support for political forces in Syria; it addresses foreign policy and international affairs, not private employer wage, hour, or benefit obligations."
hr6212-109,109,2006-09-27,Taxation,Alcohol as fuel|Fuel consumption|Gasoline|Income tax|Small business|Tax credits,"To amend the Internal Revenue Code of 1986 to provide a tax incentive to produce ethanol in high-consumption, low-production States, and for other purposes.",Ethanol Stimulus Act of 2006,,,"This bill provides tax credits to ethanol producers based on production location and volume, which relates to fuel production incentives rather than any private employer wage, hour, or benefit obligations."
hr1894-115,115,2017-04-04,Transportation and Public Works,Disaster relief and insurance|Floods and storm protection|Government liability|Land use and conservation|Missouri|Outdoor recreation|Roads and highways|State and local government operations|Wetlands,"To facilitate construction of a bridge on certain property in Christian County, Missouri, and for other purposes.",,,,"This bill authorizes construction of a bridge on property in Missouri and addresses flood liability and disaster assistance, with no connection to private employer wage, hour, or benefit obligations."
